ùtouchAt {'y': 156, 'x': 231, 'touches': 1}
touchAt {'y': 181, 'x': 238, 'touches': 1}
touchAt {'y': 209, 'x': 246, 'touches': 1}
touchAt {'y': 233, 'x': 253, 'touches': 1}
touchAt {'y': 257, 'x': 260, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 278, 'x': 265, 'touches': 1}
touchAt {'y': 296, 'x': 270, 'touches': 1}
touchAt {'y': 310, 'x': 274, 'touches': 1}
touchAt {'y': 322, 'x': 276, 'touches': 1}
touchAt {'y': 330, 'x': 278, 'touches': 1}
touchAt {'y': 335, 'x': 279, 'touches': 1}
touchAt {'y': 339, 'x': 280, 'touches': 1}
touchAt {'y': 341, 'x': 280, 'touches': 1}
touchAt {'y': 342, 'x': 280, 'touches': 1}
touchAt {'y': 342, 'x': 279, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 341, 'x': 273, 'touches': 1}
touchAt {'y': 335, 'x': 259, 'touches': 1}
touchAt {'y': 327, 'x': 241, 'touches': 1}
touchAt {'y': 318, 'x': 223, 'touches': 1}
touchAt {'y': 309, 'x': 206, 'touches': 1}
touchAt {'y': 300, 'x': 189, 'touches': 1}
touchAt {'y': 291, 'x': 172, 'touches': 1}
touchAt {'y': 282, 'x': 158, 'touches': 1}
touchAt {'y': 275, 'x': 147, 'touches': 1}
touchAt {'y': 268, 'x': 136, 'touches': 1}
touchAt {'y': 261, 'x': 128, 'touches': 1}
touchAt {'y': 256, 'x': 121, 'touches': 1}
touchAt {'y': 252, 'x': 116, 'touches': 1}
touchAt {'y': 248, 'x': 113, 'touches': 1}
touchAt {'y': 246, 'x': 110, 'touches': 1}
touchAt {'y': 244, 'x': 109, 'touches': 1}
touchAt {'y': 243, 'x': 108, 'touches': 1}
touchAt {'y': 242, 'x': 107, 'touches': 1}
touchAt {'y': 241, 'x': 106, 'touches': 1}
touchAt {'y': 240, 'x': 106, 'touches': 1}
swipeRight {'touches': 1}
touchAt {'y': 239, 'x': 109, 'touches': 1}
touchAt {'y': 236, 'x': 121, 'touches': 1}
touchAt {'y': 234, 'x': 143, 'touches': 1}
touchAt {'y': 232, 'x': 165, 'touches': 1}
touchAt {'y': 231, 'x': 187, 'touches': 1}
touchAt {'y': 230, 'x': 208, 'touches': 1}
touchAt {'y': 229, 'x': 226, 'touches': 1}
touchAt {'y': 228, 'x': 242, 'touches': 1}
touchAt {'y': 227, 'x': 257, 'touches': 1}
touchAt {'y': 226, 'x': 269, 'touches': 1}
touchAt {'y': 224, 'x': 280, 'touches': 1}
touchAt {'y': 223, 'x': 288, 'touches': 1}
touchAt {'y': 222, 'x': 294, 'touches': 1}
touchAt {'y': 221, 'x': 298, 'touches': 1}
touchAt {'y': 220, 'x': 301, 'touches': 1}
touchAt {'y': 219, 'x': 303, 'touches': 1}
touchAt {'y': 218, 'x': 304, 'touches': 1}
touchAt {'y': 218, 'x': 305, 'touches': 1}
touchAt {'y': 217, 'x': 306, 'touches': 1}
touchAt {'y': 217, 'x': 307, 'touches': 1}
touchAt {'y': 216, 'x': 308, 'touches': 1}
touchAt {'y': 216, 'x': 309, 'touches': 1}
touchAt {'y': 217, 'x': 309, 'touches': 1}
touchAt {'y': 218, 'x': 308, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 224, 'x': 302, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 239, 'x': 285, 'touches': 1}
touchAt {'y': 257, 'x': 261, 'touches': 1}
touchAt {'y': 275, 'x': 235, 'touches': 1}
touchAt {'y': 292, 'x': 210, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 308, 'x': 187, 'touches': 1}
touchAt {'y': 322, 'x': 167, 'touches': 1}
touchAt {'y': 335, 'x': 151, 'touches': 1}
touchAt {'y': 346, 'x': 138, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 349, 'x': 134, 'touches': 1}
