touchAt {'y': 78, 'x': 227, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 92, 'x': 230, 'touches': 1}
touchAt {'y': 111, 'x': 236, 'touches': 1}
touchAt {'y': 132, 'x': 244, 'touches': 1}
touchAt {'y': 156, 'x': 253, 'touches': 1}
touchAt {'y': 179, 'x': 262, 'touches': 1}
touchAt {'y': 203, 'x': 270, 'touches': 1}
touchAt {'y': 225, 'x': 278, 'touches': 1}
touchAt {'y': 248, 'x': 285, 'touches': 1}
touchAt {'y': 267, 'x': 290, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 286, 'x': 295, 'touches': 1}
touchAt {'y': 301, 'x': 299, 'touches': 1}
touchAt {'y': 314, 'x': 302, 'touches': 1}
touchAt {'y': 324, 'x': 304, 'touches': 1}
touchAt {'y': 334, 'x': 305, 'touches': 1}
touchAt {'y': 341, 'x': 307, 'touches': 1}
touchAt {'y': 347, 'x': 307, 'touches': 1}
touchAt {'y': 352, 'x': 308, 'touches': 1}
touchAt {'y': 356, 'x': 308, 'touches': 1}
touchAt {'y': 360, 'x': 309, 'touches': 1}
touchAt {'y': 364, 'x': 309, 'touches': 1}
touchAt {'y': 369, 'x': 307, 'touches': 1}
touchAt {'y': 375, 'x': 304, 'touches': 1}
touchAt {'y': 380, 'x': 301, 'touches': 1}
swipeDown {'touches': 1}
touchAt {'y': 384, 'x': 299, 'touches': 1}
touchpadAreaTouched {}
touchAt {'y': 405, 'x': 288, 'touches': 1}
touchAt {'y': 404, 'x': 288, 'touches': 1}
touchAt {'y': 403, 'x': 289, 'touches': 1}
touchAt {'y': 401, 'x': 290, 'touches': 1}
touchAt {'y': 397, 'x': 291, 'touches': 1}
touchAt {'y': 393, 'x': 292, 'touches': 1}
swipeUp {'touches': 1}
touchAt {'y': 389, 'x': 293, 'touches': 1}
touchAt {'y': 382, 'x': 291, 'touches': 1}
touchAt {'y': 374, 'x': 288, 'touches': 1}
touchAt {'y': 364, 'x': 282, 'touches': 1}
touchAt {'y': 353, 'x': 274, 'touches': 1}
touchAt {'y': 342, 'x': 264, 'touches': 1}
swipeLeft {'touches': 1}
touchAt {'y': 333, 'x': 254, 'touches': 1}
